letter	frequency
nyc 	4492
NYC 	1741
newyork 	1710
love 	1362
brooklyn 	992
instagood 	819
fashion 	703
newyorkcity 	703
manhattan 	679
style 	630
art 	530
ny 	472
follow 	455
followme 	453
instadaily 	431
mcm 	428
photooftheday 	415
NewYork 	408
monday 	407
cute 	391
