Hashtag,Count
brooklyn,8
DisneyInfinity,7
fun,6
love,5
PIN,4
\xd8\xad\xd8\xb2\xd9\x86,4
\xd8\xaa\xd8\xb5\xd8\xa7\xd9\x85\xd9\x8a\xd9\x85,4
\xd8\xb9\xd8\xb1\xd8\xa8_\xd9\x81\xd9\x88\xd8\xaa\xd9\x88,4
\xd8\xb1\xd9\x88\xd8\xb9\xd9\x87,4
\xd8\xa8\xd9\x88\xd8\xad,4
\xd8\xa7\xd8\xad\xd8\xb3\xd8\xa7\xd8\xb3,4
\xd8\xae\xd9\x88\xd8\xa7\xd8\xb7\xd8\xb1,4
\xd8\xa7\xd8\xad\xd9\x84\xd9\x89,4
\xd8\xb1\xd9\x85\xd8\xb2\xd9\x8a\xd8\xa7\xd8\xaa\xd9\x8a,4
\xd8\xaa\xd8\xb5\xd9\x88\xd9\x8a\xd8\xb1\xd9\x8a,4
