Hashtag,Count
selfie,6
camzcreations,6
newyork,5
me,4
statenisland,4
photo,3
cold,3
bestoftheday,3
nyc,3
lost,3
instadaily,3
art,3
picoftheday,3
fashion,3
photooftheday,3
