Hashtag,Count
motivation,1
love,1
dogsofinstagram,1
petsofinstagram,1
puppypaw,1
dog,1
colourful,1
saturday,1
happiness,1
dogoftheday,1
Michelangelo,1
cupcakes,1
tflers,1
sub,1
newyears,1
