Hashtag,Count
christmas,3
selfie,3
NYSTRONG,2
Repost,2
jordans,1
dogsofinstagram,1
pinkchiffon,1
PanCakes,1
textsomeonegoodmorningtoday,1
kathnielfanpage,1
Mini\xc3\xb1aBella,1
repost,1
chihuahua,1
yummy,1
xmasparty,1
