Hashtag,Count
tbt,2
christmas,2
livinruff,1
bffs,1
selfie,1
newyear2015\xd0\xbf\xd1\x80\xd0\xb0\xd0\xb7\xd0\xb4\xd0\xbd\xd0\xb8\xd0\xba\xd0\xba\xd0\xbd\xd0\xb0\xd0\xbc\xd0\xbf\xd1\x80\xd0\xb8\xd1\x85\xd0\xbe\xd0\xb4\xd0\xb8\xd1\x82\xd0\xbf\xd1\x80\xd0\xb0\xd0\xb7\xd0\xb4\xd0\xbd\xd0\xb8\xd0\xba\xd0\xba\xd0\xbd\xd0\xb0\xd0\xbc\xd0\xbf\xd1\x80\xd0\xb8\xd1\x85\xd0\xbe\xd0\xb4\xd0\xb8\xd1\x82\xd0\xb2\xd1\x81\xd0\xb5\xd0\xb3\xd0\xb4\xd0\xb0\xd0\xba\xd0\xbe\xd0\xba\xd0\xb0\xd0\xba\xd0\xbe\xd0\xbb\xd0\xb0a\xd0\xb0\xd0\xb0\xd0\xb0\xd0\xb0\xd0\xb0\xd0\xb0cocacola,1
christmastree,1
yesthisisreallife,1
sapporo,1
isthisreallife,1
coneyisland,1
koreansbaefirstgiveaway,1
memories,1
besos,1
nyc,1
