Hashtag,Count
nyc,3
brooklyn,3
family,2
M99tattoo,2
FoodForThought,2
city,2
instagood,2
foodporn,2
serenade,1
thestopbullyingproject,1
Foregin\n\xf0\x9f\x92\xa4\xf0\x9f\x92\xa4\xf0\x9f\x92\xa4\xf0\x9f\x92\xa4\xe3\x80\x81\xe3\x80\x81\xe3\x80\x81\n\xe3\x80\x81\xe3\x80\x81\xe3\x80\x81\xf0\x9f\x92\xa4\xe3\x80\x81\xe3\x80\x81\xe3\x80\x81\xe3\x80\x81\n\xe3\x80\x81\xe3\x80\x81\xf0\x9f\x92\xa4\xe3\x80\x81\xe3\x80\x81\xe3\x80\x81\xe3\x80\x81\xe3\x80\x81\n\xe3\x80\x81\xf0\x9f\x92\xa4\xe3\x80\x81\xe3\x80\x81\xe3\x80\x81\xe3\x80\x81\xe3\x80\x81\xe3\x80\x81\n\xf0\x9f\x92\xa4\xf0\x9f\x92\xa4\xf0\x9f\x92\xa4\xf0\x9f\x92\xa4\xe3\x80\x81\xe3\x80\x81\xe3\x80\x81\n\xe3\x80\x81\xe3\x80\x81\xe3\x80\x81\xf0\x9f\x92\xa4\xf0\x9f\x92\xa4\xf0\x9f\x92\xa4\xe3\x80\x81\n\xe3\x80\x81\xe3\x80\x81\xe3\x80\x81\xe3\x80\x81\xe3\x80\x81\xf0\x9f\x92\xa4\xe3\x80\x81\n\xe3\x80\x81\xe3\x80\x81\xe3\x80\x81\xe3\x80\x81\xf0\x9f\x92\xa4\xe3\x80\x81\xe3\x80\x81\n\xe3\x80\x81\xe3\x80\x81\xe3\x80\x81\xf0\x9f\x92\xa4\xf0\x9f\x92\xa4\xf0\x9f\x92\xa4\xe3\x80\x81\n\xf0\x9f\x92\xa4\xf0\x9f\x92\xa4\xe3\x80\x81\xe3\x80\x81\xe3\x80\x81\xe3\x80\x81\xe3\x80\x81\n\xe3\x80\x81\xf0\x9f\x92\xa4\xe3\x80\x81\xe3\x80\x81\xe3\x80\x81\xe3\x80\x81\xe3\x80\x81\xe3\x80\x81\n\xf0\x9f\x92\xa4\xf0\x9f\x92\xa4\xe3\x80\x81\xe3\x80\x81\xe3\x80\x81\xf0\x9f\x98\xaazZ\nSo,1
photo,1
tequila,1
SundayFunday,1
nycprimeshot,1
