Hashtag,Count
like4likelikes4likeslikeforlikelikesforlikesf4ffollowforfollowfollow4followfollow4followbackfollowforfollowbacktags4tagslike4tagslike4followlikeforfollowfollow4like10likes20likesinstapicinstamoodinstagoodinstacoolinstacoolspam4spamspamforspamlikealways,10
rp,3
melike4likelikes4likeslikeforlikelikesforlikesf4ffollowforfollowfollow4followfollow4followbackfollowforfollowbacktags4tagslike4tagslike4followlikeforfollowfollow4like10likes20likesinstapicinstamoodinstagoodinstacoolinstacoolspam4spamspamforspamlikealways,2
selfie,2
howiandtonyj,2
goodmorning,2
myangie,2
likealways,2
farruko,1
ijusthadto,1
NewYork,1
superdupercute,1
snowfireplacehotcocoacuddleTimeLoveitMagicalnatureimReady\xe2\x9d\x84\xef\xb8\x8f\xe2\x9b\x84\xef\xb8\x8f,1
dalmata,1
joelyrandy,1
