Hashtag,Count
nyc,17
newyork,9
christmas,8
Christmas,6
merrychristmas,5
happyholidays,5
love,3
newyorkcity,3
xmas,3
christmaseve,3
museum,3
family,2
design,2
NYC,2
bergdorfs,2
