Hashtag,Count
rastafari,15
nyc,12
followme,11
instagood,10
follow,9
wcw,9
alutacontinua,8
yummy,8
newyork,8
food,8
MarilynMonroe,8
picoftheday,8
statenisland,8
instagramhub,8
homemade,8
