Hashtag,Count
dancemoms,1
foreverfat,1
CHRISALERT:\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8...\xf0\x9f\x98\xa9\xf0\x9f\x98\xa9,1
cbreezy,1
vixen,1
cb,1
letstalkaboutitmedia,1
wuisforthechildren,1
Charliebrown,1
cupcakesbymeterell\sbdaymyotherchild,1
36chambers,1
whateverman,1
crispychickenwithgarlic,1
teambreezy,1
wutang,1
