Hashtag,Count
NYC,3
\xd0\x92\xd0\xbe\xd0\xbb\xd1\x88\xd0\xb5\xd0\xb1\xd0\xbd\xd0\xbe,2
NewYork,2
\xd0\x9a\xd1\x80\xd0\xb0\xd1\x81\xd0\xbe\xd1\x82\xd0\xb0,2
Brooklyn,2
\xd0\xa1\xd0\xa8\xd0\x90,2
\xd0\x93\xd0\xb8\xd1\x80\xd0\xbb\xd1\x8f\xd0\xbd\xd0\xb4\xd1\x8b,2
\xd0\x9d\xd1\x8c\xd1\x8e\xd0\x99\xd0\xbe\xd1\x80\xd0\xba,2
Fairytale,2
\xd0\xa0\xd0\xbe\xd0\xb6\xd0\xb4\xd0\xb5\xd1\x81\xd1\x82\xd0\xb2\xd0\xb5\xd0\xbd\xd1\x81\xd0\xba\xd0\xb8\xd0\xb5\xd0\x94\xd0\xb5\xd0\xba\xd0\xbe\xd1\x80\xd0\xb0\xd1\x86\xd0\xb8\xd0\xb8,2
\xd0\x91\xd1\x80\xd1\x83\xd0\xba\xd0\xbb\xd0\xb8\xd0\xbd,2
ChristmasLightening,2
Garlands,2
\xd0\x9d\xd1\x8c\xd1\x8e\xd0\x99\xd0\xbe\xd1\x80\xd0\xba\xd0\xa1\xd0\xb8\xd1\x82\xd0\xb8,2
DykerHeights,2
