Hashtag,Count
nyc,2
temptation\xd0\xb3\xd1\x83\xd0\xb1\xd1\x8b\xd0\xb3\xd1\x83\xd0\xb1\xd1\x8b\xd0\xb7\xd1\x83\xd0\xb1\xd1\x8b\xd0\xb7\xd1\x83\xd0\xb1\xd1\x8b\xd0\xba\xd1\x80\xd0\xb0\xd1\x81\xd0\xbd\xd0\xb0\xd1\x8f\xd0\xbf\xd0\xbe\xd0\xbc\xd0\xb0\xd0\xb4\xd0\xb0redlipstickinstapicinstamoodinstabeautyinstacolorsinstamomentiphoneonly,1
TeamFitness,1
grateful,1
facts,1
FitOhemaas,1
happiness,1
mawdTing,1
socialite,1
27,1
writer,1
GAINZ,1
eatclean,1
WahDiAss...you,1
windsorterrace,1
