Hashtag,Count
blacklivesmatter,2
newyork,2
nyc,2
holyhell,1
edsheeran,1
DeezSuckazStealinOurShit\xf0\x9f\x85\xb1,1
austrian,1
instawine,1
howaboutanicesweater,1
aboutlastnight,1
\xeb\x89\xb4\xec\x9a\x95,1
dreamy,1
hegotgame,1
sadface,1
\xd1\x82\xd0\xb8\xd1\x84\xd1\x84\xd0\xb0\xd0\xbd\xd0\xb8\xd1\x81\xd0\xba\xd0\xbe\xd1\x80\xd0\xbe\xd0\xbd\xd0\xbe\xd0\xb2\xd1\x8b\xd0\xb9\xd0\xb3\xd0\xbe\xd0\xb4\xd1\x81\xd0\xbf\xd0\xb0\xd1\x81\xd0\xb8\xd0\xb1\xd0\xbe\xd0\xb2\xd1\x81\xd0\xb5\xd0\xbc,1
